Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60+","Female Other","Female Total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60+","Male Other","Male Total",Total
2013,Argentina,"Venezuela (Bolivarian Republic of)",ARG,VEN,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2013,Australia,"Venezuela (Bolivarian Republic of)",AUS,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2013,Brazil,"Venezuela (Bolivarian Republic of)",BRA,VEN,0,8,0,0,0,0,8,0,0,0,15,0,0,15,23
2013,Canada,"Venezuela (Bolivarian Republic of)",CAN,VEN,0,20,0,49,5,0,74,0,14,7,60,0,0,81,942
2013,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,0,11,0,10,0,0,21,0,0,0,10,0,0,10,31
2013,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,6,11,11,75,0,0,103,7,13,13,98,5,0,136,239
2013,Ecuador,"Venezuela (Bolivarian Republic of)",ECU,VEN,0,0,7,0,0,0,7,0,0,0,6,0,0,6,13
2013,Finland,"Venezuela (Bolivarian Republic of)",FIN,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2013,France,"Venezuela (Bolivarian Republic of)",FRA,VEN,0,0,0,0,0,8,8,0,0,0,0,0,0,0,22
2013,"United Kingdom of Great Britain and Northern Ireland","Venezuela (Bolivarian Republic of)",GBR,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2013,Germany,"Venezuela (Bolivarian Republic of)",DEU,VEN,0,0,0,8,0,0,8,0,0,5,5,0,0,10,18
2013,Greece,"Venezuela (Bolivarian Republic of)",GRC,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2013,Italy,"Venezuela (Bolivarian Republic of)",ITA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2013,Mexico,"Venezuela (Bolivarian Republic of)",MEX,VEN,0,0,0,5,0,0,5,0,0,0,5,0,0,5,15
2013,Panama,"Venezuela (Bolivarian Republic of)",PAN,VEN,0,0,5,11,0,0,16,0,0,0,7,0,0,7,23
2013,Peru,"Venezuela (Bolivarian Republic of)",PER,VEN,0,0,5,0,0,0,5,0,0,0,16,0,0,16,21
2013,Spain,"Venezuela (Bolivarian Republic of)",ESP,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2013,Sweden,"Venezuela (Bolivarian Republic of)",SWE,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2013,Switzerland,"Venezuela (Bolivarian Republic of)",CHE,VEN,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2013,"United States of America","Venezuela (Bolivarian Republic of)",USA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8060
2014,Argentina,"Venezuela (Bolivarian Republic of)",ARG,VEN,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2014,Australia,"Venezuela (Bolivarian Republic of)",AUS,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2014,Belgium,"Venezuela (Bolivarian Republic of)",BEL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2014,Brazil,"Venezuela (Bolivarian Republic of)",BRA,VEN,0,0,10,36,0,0,46,6,0,0,92,0,0,98,144
2014,Canada,"Venezuela (Bolivarian Republic of)",CAN,VEN,10,14,0,53,0,0,77,0,9,8,69,0,0,86,941
2014,Chile,"Venezuela (Bolivarian Republic of)",CHL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2014,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,5,0,7,16,0,0,28,5,5,5,27,0,0,42,70
2014,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
2014,Ecuador,"Venezuela (Bolivarian Republic of)",ECU,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2014,Finland,"Venezuela (Bolivarian Republic of)",FIN,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2014,France,"Venezuela (Bolivarian Republic of)",FRA,VEN,0,0,0,0,0,6,6,0,0,0,0,0,6,6,37
2014,"United Kingdom of Great Britain and Northern Ireland","Venezuela (Bolivarian Republic of)",GBR,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2014,Germany,"Venezuela (Bolivarian Republic of)",DEU,VEN,5,0,0,5,0,0,10,0,5,0,8,0,0,13,23
2014,Ireland,"Venezuela (Bolivarian Republic of)",IRL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2014,Italy,"Venezuela (Bolivarian Republic of)",ITA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2014,Mexico,"Venezuela (Bolivarian Republic of)",MEX,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2014,Norway,"Venezuela (Bolivarian Republic of)",NOR,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2014,Panama,"Venezuela (Bolivarian Republic of)",PAN,VEN,0,0,5,30,0,0,35,0,0,0,68,0,0,68,103
2014,Peru,"Venezuela (Bolivarian Republic of)",PER,VEN,0,0,0,15,0,0,15,0,0,0,55,0,0,55,70
2014,Spain,"Venezuela (Bolivarian Republic of)",ESP,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
2014,Sweden,"Venezuela (Bolivarian Republic of)",SWE,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2014,Switzerland,"Venezuela (Bolivarian Republic of)",CHE,VEN,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2014,"United States of America","Venezuela (Bolivarian Republic of)",USA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10710
2015,Argentina,"Venezuela (Bolivarian Republic of)",ARG,VEN,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2015,Australia,"Venezuela (Bolivarian Republic of)",AUS,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2015,Austria,"Venezuela (Bolivarian Republic of)",AUT,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2015,Belgium,"Venezuela (Bolivarian Republic of)",BEL,VEN,0,0,0,0,0,6,6,0,0,0,0,0,0,0,27
2015,Brazil,"Venezuela (Bolivarian Republic of)",BRA,VEN,0,77,10,216,7,0,310,0,64,6,600,6,0,676,986
2015,Canada,"Venezuela (Bolivarian Republic of)",CAN,VEN,10,14,5,55,0,0,84,7,18,0,48,0,0,73,902
2015,Chile,"Venezuela (Bolivarian Republic of)",CHL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,6,7,5,28,0,0,46,5,0,16,45,0,0,66,112
2015,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420
2015,"Curacao ","Venezuela (Bolivarian Republic of)",CUW,VEN,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
2015,Czechia,"Venezuela (Bolivarian Republic of)",CZE,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2015,Ecuador,"Venezuela (Bolivarian Republic of)",ECU,VEN,0,0,7,0,0,0,7,0,0,0,0,0,0,0,7
2015,Finland,"Venezuela (Bolivarian Republic of)",FIN,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2015,France,"Venezuela (Bolivarian Republic of)",FRA,VEN,0,0,0,0,0,15,15,0,0,0,0,0,17,17,68
2015,"United Kingdom of Great Britain and Northern Ireland","Venezuela (Bolivarian Republic of)",GBR,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2015,Germany,"Venezuela (Bolivarian Republic of)",DEU,VEN,5,0,0,9,0,0,14,0,0,0,24,0,0,24,43
2015,Ireland,"Venezuela (Bolivarian Republic of)",IRL,VEN,0,0,0,14,0,0,14,5,0,0,12,0,0,17,31
2015,Italy,"Venezuela (Bolivarian Republic of)",ITA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
2015,Mexico,"Venezuela (Bolivarian Republic of)",MEX,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2015,Malta,"Venezuela (Bolivarian Republic of)",MLT,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2015,Panama,"Venezuela (Bolivarian Republic of)",PAN,VEN,0,0,5,121,0,0,126,0,0,0,212,0,0,212,338
2015,Peru,"Venezuela (Bolivarian Republic of)",PER,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
2015,Spain,"Venezuela (Bolivarian Republic of)",ESP,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783
2015,Sweden,"Venezuela (Bolivarian Republic of)",SWE,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2015,Switzerland,"Venezuela (Bolivarian Republic of)",CHE,VEN,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2015,"Trinidad and Tobago","Venezuela (Bolivarian Republic of)",TTO,VEN,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2015,Uruguay,"Venezuela (Bolivarian Republic of)",URY,VEN,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10
2015,"United States of America","Venezuela (Bolivarian Republic of)",USA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17338
2016,Aruba,"Venezuela (Bolivarian Republic of)",ABW,VEN,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2016,Argentina,"Venezuela (Bolivarian Republic of)",ARG,VEN,6,0,0,13,0,0,19,0,5,0,33,0,0,38,57
2016,Australia,"Venezuela (Bolivarian Republic of)",AUS,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2016,Austria,"Venezuela (Bolivarian Republic of)",AUT,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2016,Belgium,"Venezuela (Bolivarian Republic of)",BEL,VEN,0,0,0,0,0,6,6,0,0,0,0,0,0,0,56
2016,Brazil,"Venezuela (Bolivarian Republic of)",BRA,VEN,0,5,0,8,0,1378,1391,0,5,0,12,0,2924,2941,4332
2016,Canada,"Venezuela (Bolivarian Republic of)",CAN,VEN,0,0,8,94,0,0,102,0,0,0,128,11,0,139,1318
2016,Chile,"Venezuela (Bolivarian Republic of)",CHL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
2016,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,11,21,22,99,0,0,153,15,16,13,117,0,53,214,367
2016,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,0,0,0,0,0,581,581,0,0,0,0,0,876,876,1457
2016,"Curacao ","Venezuela (Bolivarian Republic of)",CUW,VEN,0,0,0,5,0,0,5,5,0,0,8,0,0,13,18
2016,Czechia,"Venezuela (Bolivarian Republic of)",CZE,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016,Denmark,"Venezuela (Bolivarian Republic of)",DNK,VEN,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
2016,"Dominican Rep.","Venezuela (Bolivarian Republic of)",DOM,VEN,0,0,0,5,0,0,5,0,5,0,10,0,0,15,20
2016,Finland,"Venezuela (Bolivarian Republic of)",FIN,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016,France,"Venezuela (Bolivarian Republic of)",FRA,VEN,0,0,0,0,0,23,23,0,0,0,0,0,25,25,189
2016,"United Kingdom of Great Britain and Northern Ireland","Venezuela (Bolivarian Republic of)",GBR,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2016,Germany,"Venezuela (Bolivarian Republic of)",DEU,VEN,8,5,5,33,0,0,51,5,5,0,58,0,0,68,119
2016,Greece,"Venezuela (Bolivarian Republic of)",GRC,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2016,Guatemala,"Venezuela (Bolivarian Republic of)",GTM,VEN,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6
2016,Ireland,"Venezuela (Bolivarian Republic of)",IRL,VEN,0,0,0,10,0,0,10,0,0,0,26,0,0,26,36
2016,Italy,"Venezuela (Bolivarian Republic of)",ITA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
2016,Mexico,"Venezuela (Bolivarian Republic of)",MEX,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394
2016,Malta,"Venezuela (Bolivarian Republic of)",MLT,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2016,"Netherlands (Kingdom of the)","Venezuela (Bolivarian Republic of)",NLD,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2016,Norway,"Venezuela (Bolivarian Republic of)",NOR,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016,Panama,"Venezuela (Bolivarian Republic of)",PAN,VEN,31,18,30,184,5,0,268,39,38,24,351,5,0,457,725
2016,Paraguay,"Venezuela (Bolivarian Republic of)",PRY,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
